family,file,line,cls,why,destination,check,condition,span,deferred
cumulative,_recall_guarded_cumulative_synthesis_artifacts.py,1055,InputValidation,type()/isinstance() check,keep in place (ordinary type/format validation),assembled episodic score population changed,"not isinstance(score_rows, list) or [row.get('evidence_id') if isinstance(row, Mapping) else None for row in score_rows] != expected_scores",5,
cumulative,_recall_guarded_cumulative_synthesis_artifacts.py,1057,Test,len() arity comparison,move to pytest over the pure transformation,assembled episodic evidence count changed,question.get('episodic_evidence_count') != len(expected_scores),2,
cumulative,_recall_guarded_cumulative_synthesis_artifacts.py,1071,InputValidation,type()/isinstance() check,keep in place (ordinary type/format validation),assembled synthesis stage must be an object,"not isinstance(bound, Mapping) or not isinstance(stage, Mapping)",2,
cumulative,_recall_guarded_cumulative_synthesis_artifacts.py,1087,Test,equality of two derived values,move to pytest over the pure transformation,assembled synthesis stage binding changed,stage.get('evidence_projection_sha256') != bound.get('evidence_projection_sha256') or stage.get('source_stage_receipt_sha256') != bound.get('stage_receipt_sha25,16,
cumulative,_recall_guarded_cumulative_synthesis_artifacts.py,1107,InputValidation,type()/isinstance() check,keep in place (ordinary type/format validation),assembled synthesis raw completion changed,"not isinstance(raw, str) or stage.get('raw_completion_sha256') != _sha256_text(raw)",4,
cumulative,_recall_guarded_cumulative_synthesis_artifacts.py,1114,InputValidation,type()/isinstance() check,keep in place (ordinary type/format validation),assembled synthesis completion report changed,"not isinstance(report, Mapping) or report.get('completion_sha256') not in {None, stage['raw_completion_sha256']} or report.get('messages_sha256') not in {None, ",6,
cumulative,_recall_guarded_cumulative_synthesis_artifacts.py,1118,InputValidation,type()/isinstance() check,keep in place (ordinary type/format validation),assembled structured attempt changed,"not isinstance(attempt, Mapping)",2,
cumulative,_recall_guarded_cumulative_synthesis_artifacts.py,1123,InputValidation,type()/isinstance() check,keep in place (ordinary type/format validation),assembled structured attempt hash changed,"not isinstance(attempt_raw, str) or attempt.get('raw_completion_sha256') != _sha256_text(attempt_raw)",4,
cumulative,_recall_guarded_cumulative_synthesis_artifacts.py,1136,Test,equality of two derived values,move to pytest over the pure transformation,assembled synthesis reuse origin changed,origin is None or origin.get('stage_id') != reused_from,2,
cumulative,_recall_guarded_cumulative_synthesis_artifacts.py,1151,Test,equality of two derived values,move to pytest over the pure transformation,assembled reused synthesis output changed,stage.get(name) != origin.get(name),2,
cumulative,_recall_guarded_cumulative_synthesis_artifacts.py,1156,InputValidation,type()/isinstance() check,keep in place (ordinary type/format validation),assembled synthesis usage delta is missing,"not isinstance(usage_delta, Mapping)",2,
cumulative,_recall_guarded_cumulative_synthesis_artifacts.py,1159,Test,equality of two derived values,move to pytest over the pure transformation,assembled total episodic evidence count changed,synthesis.get('episodic_evidence_count') != total_evidence,2,
cumulative,_recall_guarded_cumulative_synthesis_artifacts.py,1161,Test,equality of two derived values,move to pytest over the pure transformation,assembled unique synthesis-call count changed,synthesis.get('unique_synthesis_calls') != unique_calls,2,
cumulative,_recall_guarded_cumulative_synthesis_artifacts.py,1163,Test,equality of two derived values,move to pytest over the pure transformation,assembled authoritative runtime usage changed,synthesis.get('authoritative_runtime_usage') != _sum_usage(usage_rows),2,
cumulative,_recall_guarded_cumulative_synthesis_contracts.py,153,Test,len() arity comparison,move to pytest over the pure transformation,claim IDs must be unique,len(claim_ids) != len(set(claim_ids)),2,
cumulative,_recall_guarded_cumulative_synthesis_contracts.py,156,Test,len() arity comparison,move to pytest over the pure transformation,evidence labels must be unique,len(label_ids) != len(set(label_ids)),2,
cumulative,_recall_guarded_cumulative_synthesis_contracts.py,197,InputValidation,no condition; presence check,keep in place (ordinary type/format validation),cannot serialize report of type  {},,1,
cumulative,_recall_guarded_cumulative_synthesis_contracts.py,209,Test,len() arity comparison,move to pytest over the pure transformation,{}  must be a lowercase SHA-256 digest,len(digest) != 64 or any((character not in '0123456789abcdef' for character in digest)),4,
cumulative,_recall_guarded_cumulative_synthesis_contracts.py,226,InputValidation,type()/isinstance() check,keep in place (ordinary type/format validation),synthesis prompt/scoring policy must be an object,"not isinstance(policy, Mapping)",2,
cumulative,_recall_guarded_cumulative_synthesis_contracts.py,233,Delete/identity,recomputes a digest and compares to a stored one,delete (interior identity cross-check),synthesis prompt/scoring policy hash changed,identity_sha256(normalized) != policy_sha256,2,
cumulative,_recall_guarded_cumulative_synthesis_contracts.py,238,InputValidation,message: type/format validation,keep in place (ordinary type/format validation),unsupported synthesis prompt/scoring policy,not any((normalized == candidate for candidate in SUPPORTED_SYNTHESIS_PROMPT_POLICIES)),5,
cumulative,_recall_guarded_cumulative_synthesis_contracts.py,255,InputValidation,type()/isinstance() check,keep in place (ordinary type/format validation),stage receipt is missing,"not isinstance(receipt, Mapping)",2,
cumulative,_recall_guarded_cumulative_synthesis_contracts.py,267,InputValidation,presence test (no comparison),keep in place (ordinary type/format validation),synthesis runtime identity must not be empty,not payload,2,
cumulative,_recall_guarded_cumulative_synthesis_contracts.py,281,InputValidation,type()/isinstance() check,keep in place (ordinary type/format validation),runtime usage counters must be numeric,"isinstance(old, bool) or isinstance(new, bool)",2,
cumulative,_recall_guarded_cumulative_synthesis_contracts.py,283,InputValidation,type()/isinstance() check,keep in place (ordinary type/format validation),runtime usage counters must be numeric,"not isinstance(old, (int, float)) or not isinstance(new, (int, float))",2,
cumulative,_recall_guarded_cumulative_synthesis_contracts.py,286,Test,ordering/cap comparison,move to pytest over the pure transformation,runtime usage counters must be monotonic and finite,not math.isfinite(float(delta)) or delta < 0,2,
cumulative,_recall_guarded_cumulative_synthesis_contracts.py,297,InputValidation,type()/isinstance() check,keep in place (ordinary type/format validation),runtime usage summaries must be numeric,"any((isinstance(value, bool) or not isinstance(value, (int, float)) for value in values))",2,
cumulative,_recall_guarded_cumulative_synthesis_contracts.py,306,InputValidation,type()/isinstance() check,keep in place (ordinary type/format validation),stage receipt is missing,"not isinstance(receipt, Mapping)",2,
cumulative,_recall_guarded_cumulative_synthesis_contracts.py,314,InputValidation,type()/isinstance() check,keep in place (ordinary type/format validation),stage evidence must be a list,"not isinstance(raw, list)",2,
cumulative,_recall_guarded_cumulative_synthesis_contracts.py,319,InputValidation,type()/isinstance() check,keep in place (ordinary type/format validation),stage evidence row must be an object,"not isinstance(item, Mapping)",2,
cumulative,_recall_guarded_cumulative_synthesis_contracts.py,324,InputValidation,type()/isinstance() check,keep in place (ordinary type/format validation),stage evidence row is incomplete,"not evidence_id or not source_id or (not isinstance(text, str)) or (not text)",2,
cumulative,_recall_guarded_cumulative_synthesis_contracts.py,326,InputValidation,message: type/format validation,keep in place (ordinary type/format validation),stage evidence IDs must be unique,evidence_id in seen,2,
cumulative,_recall_guarded_cumulative_synthesis_contracts.py,338,InputValidation,compares against a frozen module constant,keep in place (ordinary type/format validation),unexpected cumulative retrieval format,retrieval.get('format') != RETRIEVAL_FORMAT,2,
cumulative,_recall_guarded_cumulative_synthesis_contracts.py,340,Test,boolean policy-flag check,move to pytest over the pure transformation,synthesis input must explicitly exclude gold fields,retrieval.get('gold_fields_present') is not False,2,
cumulative,_recall_guarded_cumulative_synthesis_contracts.py,342,InputValidation,compares against a frozen module constant,keep in place (ordinary type/format validation),cumulative retrieval stage order changed,"tuple(retrieval.get('stage_ids', ())) != STAGE_IDS",2,
cumulative,_recall_guarded_cumulative_synthesis_contracts.py,345,InputValidation,type()/isinstance() check,keep in place (ordinary type/format validation),cumulative retrieval has no questions,"not isinstance(questions, list) or not questions",2,
cumulative,_recall_guarded_cumulative_synthesis_contracts.py,347,Test,len() arity comparison,move to pytest over the pure transformation,cumulative retrieval question count changed,retrieval.get('question_count') != len(questions),2,
cumulative,_recall_guarded_cumulative_synthesis_contracts.py,359,Test,equality of two derived values,move to pytest over the pure transformation,retrieval embedded question-part hashes changed,list(declared_part_hashes) != observed_part_hashes,2,
cumulative,_recall_guarded_cumulative_synthesis_contracts.py,362,InputValidation,type()/isinstance() check,keep in place (ordinary type/format validation),retrieval question row must be an object,"not isinstance(question, Mapping)",2,
cumulative,_recall_guarded_cumulative_synthesis_contracts.py,369,InputValidation,compares against a frozen module constant,keep in place (ordinary type/format validation),retrieval question binding changed,"question.get('format') != QUESTION_FORMAT or question.get('ordinal') != ordinal or tuple(question.get('stage_ids', ())) != STAGE_IDS or (question.get('provider_",7,
cumulative,_recall_guarded_cumulative_synthesis_contracts.py,375,InputValidation,type()/isinstance() check,keep in place (ordinary type/format validation),retrieval question stages changed,"not isinstance(stages, list) or tuple((stage.get('stage_id') if isinstance(stage, Mapping) else None for stage in stages)) != STAGE_IDS",5,
cumulative,_recall_guarded_cumulative_synthesis_contracts.py,382,Behavioral,slice comparison (ordered-prefix nesting),KEEP in-path (recall guard: monotonic nesting),retrieval stages are no longer cumulative,index and ids[:len(parent_ids)] != parent_ids,2,
cumulative,_recall_guarded_cumulative_synthesis_contracts.py,385,InputValidation,type()/isinstance() check,keep in place (ordinary type/format validation),retrieval stage receipt is missing,"not isinstance(receipt, Mapping)",2,
cumulative,_recall_guarded_cumulative_synthesis_contracts.py,387,Delete/receipt,message: receipt/certification bookkeeping,delete (receipt/certification bookkeeping),retrieval stage receipt evidence changed,"tuple(receipt.get('selected_evidence_ids', ())) != ids",2,
cumulative,_recall_guarded_cumulative_synthesis_contracts.py,392,Test,equality of two derived values,move to pytest over the pure transformation,retrieval stage parent evidence changed,"tuple(receipt.get('parent_evidence_ids', parent_ids)) != parent_ids",4,
cumulative,_recall_guarded_cumulative_synthesis_contracts.py,395,Test,equality of two derived values,move to pytest over the pure transformation,retrieval stage additions changed,"tuple(receipt.get('added_evidence_ids', expected_added)) != expected_added",2,
cumulative,_recall_guarded_cumulative_synthesis_contracts.py,398,Delete/identity,recomputes a digest and compares to a stored one,delete (interior identity cross-check),retrieval stage prompt changed,identity_sha256(messages) != receipt.get('prompt_messages_sha256'),2,
cumulative,_recall_guarded_cumulative_synthesis_contracts.py,405,Delete/identity,recomputes a digest and compares to a stored one,delete (interior identity cross-check),retrieval stage receipt seal changed,identity_sha256(body) != declared_receipt,2,
cumulative,_recall_guarded_cumulative_synthesis_contracts.py,415,InputValidation,type()/isinstance() check,keep in place (ordinary type/format validation),stage provider messages are missing,"not isinstance(messages, list)",2,
cumulative,_recall_guarded_cumulative_synthesis_contracts.py,422,InputValidation,type()/isinstance() check,keep in place (ordinary type/format validation),stage provider prompt has no user question,"not user_contents or not isinstance(user_contents[-1], str)",2,
cumulative,_recall_guarded_cumulative_synthesis_contracts.py,427,Test,equality of two derived values,move to pytest over the pure transformation,cannot recover question from sealed provider prompt,marker not in content or suffix not in content,2,
cumulative,_recall_guarded_cumulative_synthesis_contracts.py,430,InputValidation,presence test (no comparison),keep in place (ordinary type/format validation),sealed provider prompt contains an empty question,not question,2,
cumulative,_recall_guarded_cumulative_synthesis_contracts.py,441,InputValidation,type()/isinstance() check,keep in place (ordinary type/format validation),question must contain S0 through S3,"not isinstance(stages, list) or len(stages) != 4",2,
cumulative,_recall_guarded_cumulative_synthesis_contracts.py,447,InputValidation,type()/isinstance() check,keep in place (ordinary type/format validation),stage must be an object,"not isinstance(stage, Mapping)",2,
cumulative,_recall_guarded_cumulative_synthesis_contracts.py,484,InputValidation,message: type/format validation,keep in place (ordinary type/format validation),unsupported synthesis prompt/scoring policy,not any((selected_policy == candidate for candidate in SUPPORTED_SYNTHESIS_PROMPT_POLICIES)),5,
cumulative,_recall_guarded_cumulative_synthesis_contracts.py,494,InputValidation,presence test (no comparison),keep in place (ordinary type/format validation),episodic synthesis stage has no evidence beyond S0,not novel_aliases,2,
cumulative,_recall_guarded_cumulative_synthesis_contracts.py,594,Test,ordering/cap comparison,move to pytest over the pure transformation,synthesis completion contains no JSON object,start < 0 or end < start,2,
cumulative,_recall_guarded_cumulative_synthesis_contracts.py,598,Operational,raised from an except handler,keep in place (OS / TOCTOU / precondition),synthesis completion contains invalid JSON,,1,
cumulative,_recall_guarded_cumulative_synthesis_contracts.py,614,Test,equality of two derived values,move to pytest over the pure transformation,"episodic label population changed; missing= {} , extra= {}",label_aliases != expected_labels,4,
cumulative,_recall_guarded_cumulative_synthesis_contracts.py,618,Test,len() arity comparison,move to pytest over the pure transformation,answer claim IDs must be unique,len(answer_claims) != len(set(answer_claims)),2,
cumulative,_recall_guarded_cumulative_synthesis_contracts.py,621,InputValidation,presence test (no comparison),keep in place (ordinary type/format validation),answer references unknown claim IDs,unknown_answer_claims,2,
cumulative,_recall_guarded_cumulative_synthesis_contracts.py,624,InputValidation,presence test (no comparison),keep in place (ordinary type/format validation),I don't know answer must not cite claims,answer_claims,2,
cumulative,_recall_guarded_cumulative_synthesis_contracts.py,626,InputValidation,presence test (no comparison),keep in place (ordinary type/format validation),non-empty answer must cite at least one claim,not answer_claims,2,
cumulative,_recall_guarded_cumulative_synthesis_contracts.py,634,Test,equality of two derived values,move to pytest over the pure transformation,claim cites an unknown evidence alias,citation.evidence_alias not in known_aliases,2,
cumulative,_recall_guarded_cumulative_synthesis_contracts.py,637,Test,equality of two derived values,move to pytest over the pure transformation,citation quote is not an exact evidence substring,citation.quote not in evidence['text'],2,
cumulative,_recall_guarded_cumulative_synthesis_contracts.py,640,Behavioral,message: nesting/monotonicity,KEEP in-path (recall guard: monotonic nesting),claim contains a duplicate citation,key in citation_keys,2,
cumulative,_recall_guarded_cumulative_synthesis_contracts.py,659,InputValidation,presence test (no comparison),keep in place (ordinary type/format validation),evidence label references unknown claim IDs,unknown,2,
cumulative,_recall_guarded_cumulative_synthesis_contracts.py,661,Test,len() arity comparison,move to pytest over the pure transformation,evidence label claim IDs must be unique,len(label.supports_claim_ids) != len(set(label.supports_claim_ids)),2,
cumulative,_recall_guarded_cumulative_synthesis_contracts.py,691,InputValidation,presence test (no comparison),keep in place (ordinary type/format validation),causal evidence score must be finite,not all((math.isfinite(value) for value in values)),2,
cumulative,_recall_guarded_cumulative_synthesis_contracts.py,693,Test,ordering/cap comparison,move to pytest over the pure transformation,"causal answerability must be in [0, 1]",not 0.0 <= values[0] <= 1.0,2,
cumulative,_recall_guarded_cumulative_validation_campaign.py,85,Delete/identity,recomputes a digest and compares to a stored one,delete (interior identity cross-check),retrieval implementation changed after preflight,implementation_sha256() != preflight.retrieval_implementation_sha256,2,
cumulative,_recall_guarded_cumulative_validation_campaign.py,87,Delete/identity,recomputes a digest and compares to a stored one,delete (interior identity cross-check),retrieval environment changed after preflight,environment_lock_sha256() != preflight.environment_lock_sha256,2,
cumulative,_recall_guarded_cumulative_validation_campaign.py,99,Delete/identity,compares stored digest fields,delete (interior identity cross-check),retrieval store changed its source or policy,prepared.receipt.source_database_sha256 != selected_source['database_sha256'] or prepared.receipt.retrieval_policy_sha256 != preflight.policy.retrieval_policy_s,7,
cumulative,_recall_guarded_cumulative_validation_campaign.py,234,Delete/identity,recomputes a digest and compares to a stored one,delete (interior identity cross-check),retrieval implementation changed during shard run,implementation_sha256() != preflight.retrieval_implementation_sha256,2,
cumulative,_recall_guarded_cumulative_validation_campaign.py,236,Delete/identity,recomputes a digest and compares to a stored one,delete (interior identity cross-check),retrieval environment changed during shard run,environment_lock_sha256() != preflight.environment_lock_sha256,2,
cumulative,_recall_guarded_cumulative_validation_campaign.py,295,Delete/identity,compares stored digest fields,delete (interior identity cross-check),merged retrieval changed its frozen policy manifest,retrieval.get('validation_policy_manifest_sha256') != LOCKED_VALIDATION_POLICY_MANIFEST_SHA256,4,
cumulative,_recall_guarded_cumulative_validation_campaign.py,298,InputValidation,type()/isinstance() check,keep in place (ordinary type/format validation),merged retrieval omitted its policy attestation,"not isinstance(raw_attestation, Mapping)",2,
cumulative,_recall_guarded_cumulative_validation_campaign.py,316,Delete/identity,recomputes a digest and compares to a stored one,delete (interior identity cross-check),merged retrieval policy attestation changed,declared != identity_sha256(attestation) or declared != retrieval.get('validation_policy_attestation_sha256') or raw_attestation.get('format') != VALIDATION_POL,13,
cumulative,_recall_guarded_cumulative_validation_campaign.py,331,Test,equality of two derived values,move to pytest over the pure transformation,merged retrieval changed its resolved policy,raw_attestation.get('resolved_retrieval_policy_sha256') != retrieval_policy_sha,4,
cumulative,_recall_guarded_cumulative_validation_campaign.py,341,Delete/identity,recomputes a digest and compares to a stored one,delete (interior identity cross-check),merged retrieval execution policy changed,retrieval.get('validation_execution_policy') != expected_execution or retrieval.get('validation_execution_policy_sha256') != identity_sha256(expected_execution),6,
cumulative,_recall_guarded_cumulative_validation_campaign.py,346,InputValidation,type()/isinstance() check,keep in place (ordinary type/format validation),merged shard omitted its source-store receipt,"not isinstance(value, Mapping)",2,
cumulative,_recall_guarded_cumulative_validation_campaign.py,363,Delete/identity,recomputes a digest and compares to a stored one,delete (interior identity cross-check),merged shard source-store receipt changed,declared != identity_sha256(receipt) or receipt.get('format') != CURRENT_SOURCE_FORMAT or receipt.get('source_scope') != CURRENT_SOURCE_SCOPE or (receipt.get('t,12,
cumulative,_recall_guarded_cumulative_validation_campaign.py,415,Test,len() arity comparison,move to pytest over the pure transformation,merged validation retrieval changed campaign controls,retrieval.get('format') != VALIDATION_MERGED_RETRIEVAL_FORMAT or retrieval.get('campaign_format') != VALIDATION_CAMPAIGN_FORMAT or retrieval.get('shard_count') ,12,
cumulative,_recall_guarded_cumulative_validation_campaign.py,418,InputValidation,type()/isinstance() check,keep in place (ordinary type/format validation),merged validation retrieval omitted its population,"not isinstance(population, Mapping)",2,
cumulative,_recall_guarded_cumulative_validation_campaign.py,425,Test,equality of two derived values,move to pytest over the pure transformation,merged validation population digest changed,retrieval.get('population_identity_sha256') != population_sha,2,
cumulative,_recall_guarded_cumulative_validation_campaign.py,437,InputValidation,type()/isinstance() check,keep in place (ordinary type/format validation),merged retrieval source device is not normalized,"not isinstance(device, str) or not device or device != device.casefold()",2,
cumulative,_recall_guarded_cumulative_validation_campaign.py,446,InputValidation,type()/isinstance() check,keep in place (ordinary type/format validation),merged validation shard population is incomplete,"not isinstance(references, list) or len(references) != len(LOCKED_100Q_OFFSETS) or (not isinstance(ordered_shard_hashes, list)) or (len(ordered_shard_hashes) !=",7,
cumulative,_recall_guarded_cumulative_validation_campaign.py,452,InputValidation,type()/isinstance() check,keep in place (ordinary type/format validation),merged validation shard reference must be an object,"not isinstance(raw_reference, Mapping)",2,
cumulative,_recall_guarded_cumulative_validation_campaign.py,461,InputValidation,type()/isinstance() check,keep in place (ordinary type/format validation),merged shard reference omitted its identity,"not isinstance(shard, Mapping)",2,
cumulative,_recall_guarded_cumulative_validation_campaign.py,469,InputValidation,type()/isinstance() check,keep in place (ordinary type/format validation),merged shard omitted its combined-store receipt,"not isinstance(raw_combined, Mapping)",2,
cumulative,_recall_guarded_cumulative_validation_campaign.py,498,InputValidation,type()/isinstance() check,keep in place (ordinary type/format validation),merged validation shard reference changed,reference.get('format') != VALIDATION_SHARD_REFERENCE_FORMAT or reference.get('ordinal') != ordinal or reference.get('shard_offset') != offset or (normalized_sh,27,
cumulative,_recall_guarded_cumulative_validation_campaign.py,507,Test,len() arity comparison,move to pytest over the pure transformation,merged validation repeats a shard retrieval,len(set(ordered_shard_hashes)) != len(ordered_shard_hashes),2,
cumulative,_recall_guarded_cumulative_validation_campaign.py,510,InputValidation,type()/isinstance() check,keep in place (ordinary type/format validation),merged validation omitted external reconstruction receipt,"not isinstance(raw_reconstruction, Mapping)",2,
cumulative,_recall_guarded_cumulative_validation_campaign.py,574,Delete/identity,recomputes a digest and compares to a stored one,delete (interior identity cross-check),external reconstruction receipt changed,reconstruction != expected_reconstruction or declared_reconstruction != identity_sha256(reconstruction) or retrieval.get('external_reconstruction_receipt_sha256,7,
cumulative,_recall_guarded_cumulative_validation_campaign.py,583,InputValidation,type()/isinstance() check,keep in place (ordinary type/format validation),merged validation question population is incomplete,"not isinstance(questions, list) or len(questions) != 100 or (not isinstance(part_hashes, list)) or (len(part_hashes) != len(questions))",7,
cumulative,_recall_guarded_cumulative_validation_campaign.py,589,Test,equality of two derived values,move to pytest over the pure transformation,merged validation normalized part hashes changed,part_hashes != observed_hashes,2,
cumulative,_recall_guarded_cumulative_validation_campaign.py,593,InputValidation,type()/isinstance() check,keep in place (ordinary type/format validation),merged validation question must be an object,"not isinstance(raw_question, Mapping)",2,
cumulative,_recall_guarded_cumulative_validation_campaign.py,651,Test,equality of two derived values,move to pytest over the pure transformation,merged validation question cross-binding changed,"any((question.get(name) != value for name, value in expected.items()))",2,
cumulative,_recall_guarded_cumulative_validation_campaign.py,654,InputValidation,type()/isinstance() check,keep in place (ordinary type/format validation),merged validation question ID is missing,"not isinstance(question_id, str) or not question_id",2,
cumulative,_recall_guarded_cumulative_validation_campaign.py,656,InputValidation,message: type/format validation,keep in place (ordinary type/format validation),merged validation question IDs must be unique,question_id in seen_question_ids,2,
cumulative,_recall_guarded_cumulative_validation_campaign.py,665,Delete/identity,recomputes a digest and compares to a stored one,delete (interior identity cross-check),merged question changed its original shard part,hashlib.sha256(_canonical_json_bytes(source_projection)).hexdigest() != source_part_sha,4,
cumulative,_recall_guarded_cumulative_validation_campaign.py,748,InputValidation,compares against a frozen module constant,keep in place (ordinary type/format validation),validation merge requires the exact locked 100Q plan,plan != LOCKED_LONGMEMEVAL_VALIDATION_PLAN,2,
cumulative,_recall_guarded_cumulative_validation_campaign.py,763,Test,equality of two derived values,move to pytest over the pure transformation,locked population merge disagrees with reconstruction,reconstructed != population,2,
cumulative,_recall_guarded_cumulative_validation_campaign.py,776,Test,len() arity comparison,move to pytest over the pure transformation,merge requires exactly ten ordered shard retrieval paths,len(paths) != len(plan.shard_offsets),2,
cumulative,_recall_guarded_cumulative_validation_campaign.py,801,Test,equality of two derived values,move to pytest over the pure transformation,shard retrieval  {}  is out of order,retrieval['shard_offset'] != offset,2,
cumulative,_recall_guarded_cumulative_validation_campaign.py,806,Test,len() arity comparison,move to pytest over the pure transformation,merge received a repeated shard retrieval artifact,len(set(digests)) != len(digests),2,
cumulative,_recall_guarded_cumulative_validation_campaign.py,894,Test,len() arity comparison,move to pytest over the pure transformation,locked merge did not produce exactly 100 questions,len(questions) != 100,2,
cumulative,_recall_guarded_cumulative_validation_campaign.py,966,Delete/identity,recomputes a digest and compares to a stored one,delete (interior identity cross-check),retrieval implementation changed during merge,implementation_sha256() != active_implementation,2,
cumulative,_recall_guarded_cumulative_validation_campaign.py,968,Delete/identity,recomputes a digest and compares to a stored one,delete (interior identity cross-check),retrieval environment changed during merge,environment_lock_sha256() != active_environment,2,
cumulative,_recall_guarded_cumulative_validation_shard.py,170,Operational,no condition; operational message,keep in place (OS / TOCTOU / precondition),coverage selector was not bound before retrieval,,1,
cumulative,_recall_guarded_cumulative_validation_shard.py,251,InputValidation,type()/isinstance() check,keep in place (ordinary type/format validation),{}  must be a lowercase SHA-256 digest,"not isinstance(value, str) or len(value) != 64 or any((character not in _SHA256_ALPHABET for character in value))",6,
cumulative,_recall_guarded_cumulative_validation_shard.py,257,InputValidation,type()/isinstance() check,keep in place (ordinary type/format validation),{}  must be an integer >=  {},type(value) is not int or value < minimum,2,
cumulative,_recall_guarded_cumulative_validation_shard.py,267,InputValidation,message: type/format validation,keep in place (ordinary type/format validation),"{}  has an unexpected schema; missing= {} , extra= {}",set(value) != expected,4,
cumulative,_recall_guarded_cumulative_validation_shard.py,276,InputValidation,presence test (no comparison),keep in place (ordinary type/format validation),{}  contains gold-bearing fields:  {},prohibited,2,
cumulative,_recall_guarded_cumulative_validation_shard.py,403,InputValidation,presence test (no comparison),keep in place (ordinary type/format validation),frozen validation policy is missing:  {},not path.is_file(),2,
cumulative,_recall_guarded_cumulative_validation_shard.py,406,Delete/identity,compares stored digest fields,delete (interior identity cross-check),validation policy SHA-256 mismatch:  {}  !=  {},observed_sha != LOCKED_VALIDATION_POLICY_MANIFEST_SHA256,5,
cumulative,_recall_guarded_cumulative_validation_shard.py,412,InputValidation,type()/isinstance() check,keep in place (ordinary type/format validation),frozen validation policy must be a JSON object,"not isinstance(payload, Mapping)",2,
cumulative,_recall_guarded_cumulative_validation_shard.py,422,Test,equality of two derived values,move to pytest over the pure transformation,validation policy does not describe the locked 100Q split,"any((payload.get(name) != value for name, value in expected.items()))",2,
cumulative,_recall_guarded_cumulative_validation_shard.py,426,InputValidation,type()/isinstance() check,keep in place (ordinary type/format validation),validation policy omitted retrieval/evaluation controls,"not isinstance(retrieval_raw, Mapping) or not isinstance(evaluation, Mapping)",2,
cumulative,_recall_guarded_cumulative_validation_shard.py,435,InputValidation,compares against a frozen module constant,keep in place (ordinary type/format validation),validation policy changed its 100Q stress controls,evaluation.get('min_target_questions') != 100 or evaluation.get('stress_context_tokens') != LOCKED_CONTEXT_TARGET_TOKENS or evaluation.get('stress_questions') !,9,
cumulative,_recall_guarded_cumulative_validation_shard.py,505,Delete/identity,recomputes a digest and compares to a stored one,delete (interior identity cross-check),validation policy attestation seal changed,declared_attestation != identity_sha256(attestation),2,
cumulative,_recall_guarded_cumulative_validation_shard.py,510,Delete/identity,compares stored digest fields,delete (interior identity cross-check),validation execution policy changed,"policy.execution_policy != _validation_execution_policy(policy_attestation_sha256=declared_attestation, retrieval_policy_sha256=policy.retrieval_policy_sha256)",5,
cumulative,_recall_guarded_cumulative_validation_shard.py,516,InputValidation,compares against a frozen module constant,keep in place (ordinary type/format validation),"sample offset must be one of 0,10,...,90",offset not in LOCKED_100Q_OFFSETS,2,
cumulative,_recall_guarded_cumulative_validation_shard.py,536,InputValidation,compares against a frozen module constant,keep in place (ordinary type/format validation),validation retrieval requires the exact locked 100Q plan,plan != LOCKED_LONGMEMEVAL_VALIDATION_PLAN,2,
cumulative,_recall_guarded_cumulative_validation_shard.py,539,Test,equality of two derived values,move to pytest over the pure transformation,sample offset is not part of the locked validation plan,offset not in plan.shard_offsets,2,
cumulative,_recall_guarded_cumulative_validation_shard.py,556,InputValidation,presence test (no comparison),keep in place (ordinary type/format validation),Qwen prefix checkpoint is missing:  {},not prefix.is_dir(),2,
cumulative,_recall_guarded_cumulative_validation_shard.py,558,InputValidation,presence test (no comparison),keep in place (ordinary type/format validation),Qwen choice checkpoint is missing:  {},not choice.is_dir(),2,
cumulative,_recall_guarded_cumulative_validation_shard.py,621,Operational,raised from an except handler,keep in place (OS / TOCTOU / precondition),<re-raise>,,1,
cumulative,_recall_guarded_cumulative_validation_shard.py,680,Delete/identity,compares stored digest fields,delete (interior identity cross-check),combined store does not bind the selected source and policy,prepared.receipt.source_database_sha256 != source_receipt['database_sha256'] or prepared.receipt.turn_count != source_receipt['turn_count'] or prepared.receipt.,12,
cumulative,_recall_guarded_cumulative_validation_shard.py,685,Operational,raised from an except handler,keep in place (OS / TOCTOU / precondition),<re-raise>,,1,
cumulative,_recall_guarded_cumulative_validation_shard.py,691,InputValidation,type()/isinstance() check,keep in place (ordinary type/format validation),retrieval stage provider messages are missing,"not isinstance(value, (list, tuple)) or not value",2,
cumulative,_recall_guarded_cumulative_validation_shard.py,695,InputValidation,type()/isinstance() check,keep in place (ordinary type/format validation),provider message  {}  has a noncanonical shape,"not isinstance(raw, Mapping) or set(raw) != {'role', 'content'}",4,
cumulative,_recall_guarded_cumulative_validation_shard.py,700,InputValidation,type()/isinstance() check,keep in place (ordinary type/format validation),provider message  {}  requires strings,"not isinstance(role, str) or not role or (not isinstance(content, str))",2,
cumulative,_recall_guarded_cumulative_validation_shard.py,709,InputValidation,presence test (no comparison),keep in place (ordinary type/format validation),retrieval stage prompt has no user message,not users,2,
cumulative,_recall_guarded_cumulative_validation_shard.py,713,Test,equality of two derived values,move to pytest over the pure transformation,cannot recover question from sealed retrieval prompt,marker not in content or suffix not in content,2,
cumulative,_recall_guarded_cumulative_validation_shard.py,716,InputValidation,presence test (no comparison),keep in place (ordinary type/format validation),sealed retrieval prompt contains an empty question,not question,2,
